model,timestamp,rmse,mae,mape,mase,r2
Base,2023-09-17 19:57:06,5.181,3.918,0.015,1.0,
LenearRegression,2023-09-17 20:00:58,5.329,4.113,0.015,1.06,0.98
ARIMA,2023-09-17 20:12:07,32.143,26.542,0.104,7.195,
MSFT_LSTM_W10_SBS5500_B32_E500_P42113_2023_10_09__15_49,2023-10-09 21:12:47,4.71,4.644,0.017,1.18,
MSFT_LSTM_W20_SBS5500_B32_E500_P42113_2023_10_09__16_15,2023-10-09 21:53:52,0.954,0.625,0.002,0.152,
MSFT_LSTM_W40_SBS5500_B32_E500_P42113_2023_10_09__16_41,2023-10-09 22:00:57,2.482,2.252,0.008,0.55,
MSFT_LSTM_W60_SBS5500_B32_E500_P42113_2023_10_09__17_12,2023-10-09 22:02:01,1.102,1.053,0.004,0.264,
MSFT_LSTM_W120_SBS5500_B32_E500_P42113_2023_10_09__17_50,2023-10-09 22:02:46,0.945,0.826,0.003,0.205,
MSFT_LSTM_W240_SBS5500_B32_E500_P42113_2023_10_09__18_42,2023-10-09 22:06:50,4.945,1.151,0.007,0.584,
MSFT_LSTM_W20_SBS5500_B32_E500_P42113_2023_10_09__16_15,2023-10-09 22:18:29,0.788,0.52,0.002,0.134,
